FIPS,Population,< 18,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,Household Income,% Free Lunch,"Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associates degree, 2014-18","Percent of adults with a bachelors degree or higher, 2014-18",PercentPoverty,PercentYouthPoverty,PercentInfantPoverty0-4,Per-pupil-Spending,Total-Spending,Instructor-spending-per-pupil,Instructor-spending,SupportServices-per-pupil,SupportServices,MN,AB,AP
1001,55267,26.0,18.3,0.5,0.9,0.1,2.6,76,48863.0,36.0,11.3,32.6,28.4,27.7,13.8,19.3,19.5,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1003,186717,22.8,9.6,0.7,0.8,0.1,4.5,83,50144.0,37.0,9.7,27.6,31.3,31.3,9.8,13.9,13.1,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1005,27119,21.8,46.4,0.6,0.4,0.2,5.3,47,30117.0,66.0,27.0,35.7,25.1,12.2,30.9,43.9,36.7,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1007,22766,22.1,22.2,0.3,0.1,0.1,2.0,75,37347.0,54.0,16.8,47.3,24.4,11.5,21.8,27.8,26.3,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1009,57677,24.4,1.7,0.6,0.2,0.1,8.6,88,41940.0,44.0,19.8,34.0,33.5,12.6,13.2,18.0,15.5,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1011,10542,21.9,68.3,0.9,0.2,0.8,7.7,23,26038.0,90.0,24.8,39.7,22.3,13.3,42.5,68.3,66.5,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1013,20650,23.6,43.2,0.4,0.9,0.1,1.1,54,30489.0,68.0,15.4,43.9,24.6,16.1,24.5,36.3,35.3,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1015,117797,22.8,20.6,0.5,0.8,0.1,3.4,73,39060.0,51.0,15.9,32.4,33.7,18.0,19.5,26.5,24.1,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1017,33939,22.3,38.5,0.2,0.6,0.0,1.7,58,33500.0,65.0,18.6,38.4,29.7,13.2,18.7,30.7,30.3,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
1019,26057,21.1,4.9,0.6,0.2,0.0,1.4,92,34738.0,51.0,19.8,38.3,29.0,12.9,16.3,24.7,22.2,"$9,236.00","$6,907,539.00","$5,257.00","$3,865,453.00","$3,321.00","$2,439,634.00",269,60,20
