var countyStats2 = [{
    FIPS,Population,< 18,65 and over,African American,American Indian/ Alaskan Native,Asian,Native Hawaiian/ Other Pacific Islander,Hispanic,Non-hispanic white,# not proficient in English,% not proficient in English,Female,Rural,% diabetic,95% CI - Low,95% CI - High,HIV Cases,HIV Rate,Total deaths,Age-adjusted Mortality,95% CI - Low.1,95% CI - high,Total deaths.1,Mortality rate,95% CI - Low.2,95% CI - High.1,Total deaths.2,Mortality rate.1,95% CI - Low.3,95% CI - High.2,# MPH,MPH Rate,MPH Ratio,Costs,# Uninsured,% Uninsured,95% CI - Low.4,95% CI - High.3,# Uninsured.1,% Uninsured.1,95% CI - Low.5,95% CI - High.4,Sample Size,% Couldn’t Access,Household Income,95% CI - Low.6,95% CI - High.5,# high housing costs,Households,% high housing costs,% Free Lunch,Homicide Rate,95% CI - Low.7,95% CI - High.6,# Drive Alone,Workers,% Drive Alone,% park access,Unnamed: 59,Unnamed: 60,State,County,FIPSState,FIPSCounty,Unnamed: 5
    1001,55267,26.0,12.3,18.3,0.5,0.9,0.1,2.6,76,271.0,0.5,51.2,42.0,12,10.0,15.0,76.0,185.0,729.0,439.5,407.5,471.6,35.0,59.2,41.2,82.4,27.0,807.4,532.1,1174.8,2.0,0.0,27318:1,9489.0,5771.0,17.0,15.0,20.0,811.0,5.0,4.0,7.0,386.0,18.0,48863.0,43492.0,54234.0,5361,19998,27,36.0,4.0,2.0,6.0,21262,24349,87,20.0,:null,,Alabama,Autauga,1,1,
    1003,186717,22.8,17.1,9.6,0.7,0.8,0.1,4.5,83,2788.0,1.7,51.2,42.3,11,10.0,13.0,269.0,179.0,2325.0,365.0,349.7,380.2,97.0,58.7,47.6,71.6,66.0,589.1,455.6,749.5,32.0,0.0,5726:1,9618.0,25021.0,23.0,21.0,25.0,3950.0,9.0,7.0,11.0,1529.0,16.0,50144.0,45867.0,54421.0,21260,70757,30,37.0,4.0,3.0,6.0,65382,78770,83,5.0,:null,,Alabama,Baldwin,1,3,
    1005,27119,21.8,14.6,46.4,0.6,0.4,0.2,5.3,47,400.0,1.5,46.5,67.8,14,11.0,17.0,86.0,345.0,422.0,459.3,414.8,503.7,26.0,105.3,68.8,154.2,27.0,1539.3,1014.4,2239.7,1.0,0.0,27390:1,9762.0,3424.0,24.0,21.0,26.0,398.0,6.0,4.0,8.0,379.0,17.0,30117.0,26980.0,33254.0,3107,9589,32,66.0,5.0,3.0,9.0,7404,9447,78,4.0,:null,,Alabama,Barbour,1,5,
    1007,22766,22.1,13.3,22.2,0.3,0.1,0.1,2.0,75,172.0,0.8,46.1,68.4,12,9.0,15.0,18.0,100.0,390.0,541.8,487.6,596.0,22.0,103.9,65.1,157.3,17.0,1192.1,694.5,1908.7,,,,11270.0,2870.0,22.0,20.0,25.0,325.0,6.0,4.0,8.0,330.0,18.0,37347.0,33090.0,41604.0,1589,7225,22,54.0,8.0,4.0,13.0,7428,8930,83,,:null,,Alabama,Bibb,1,7,
    1009,57677,24.4,15.0,1.7,0.6,0.2,0.1,8.6,88,1589.0,3.0,50.6,90.0,13,10.0,16.0,39.0,81.0,826.0,426.2,396.7,455.7,36.0,63.9,44.7,88.4,23.0,605.7,384.0,908.9,1.0,0.0,57387:1,10238.0,8295.0,24.0,22.0,26.0,1191.0,8.0,6.0,10.0,343.0,15.0,41940.0,37672.0,46208.0,4990,20954,24,44.0,4.0,2.0,7.0,18857,23566,80,1.0,:null,,Alabama,Blount,1,9,
    1011,10542,21.9,13.6,68.3,0.9,0.2,0.8,7.7,23,321.0,3.1,45.7,51.4,16,12.0,20.0,32.0,358.0,192.0,514.8,441.3,588.3,,,,,10.0,1191.9,571.6,2191.9,,,,9568.0,1167.0,21.0,18.0,24.0,131.0,5.0,3.0,7.0,,,26038.0,22823.0,29253.0,1114,3760,30,90.0,,,,3096,3910,79,1.0,:null,,Alabama,Bullock,1,11,
    1013,20650,23.6,17.1,43.2,0.4,0.9,0.1,1.1,54,27.0,0.1,53.1,71.2,17,14.0,20.0,34.0,207.0,389.0,553.0,496.5,609.5,13.0,64.0,34.1,109.4,14.0,1020.4,557.9,1712.1,1.0,0.0,20941:1,10613.0,2717.0,22.0,19.0,25.0,291.0,6.0,4.0,7.0,346.0,17.0,30489.0,27486.0,33492.0,2633,8090,33,68.0,10.0,5.0,16.0,6900,7833,88,10.0,:null,,Alabama,Butler,1,13,
    1015,117797,22.8,14.6,20.6,0.5,0.8,0.1,3.4,73,1144.0,1.0,51.9,33.7,14,12.0,16.0,166.0,176.0,2042.0,532.3,508.8,555.8,88.0,81.3,65.2,100.2,65.0,908.1,700.8,1157.4,11.0,0.0,10766:1,11552.0,14592.0,20.0,18.0,22.0,1520.0,5.0,4.0,7.0,1344.0,18.0,39060.0,36210.0,41910.0,13579,45923,30,51.0,11.0,9.0,14.0,39740,46580,85,17.0,:null,,Alabama,Calhoun,1,15,
    1017,33939,22.3,17.0,38.5,0.2,0.6,0.0,1.7,58,100.0,0.3,52.2,49.1,16,13.0,19.0,81.0,282.0,643.0,531.1,489.0,573.2,20.0,62.8,38.4,97.0,15.0,761.0,425.9,1255.2,1.0,0.0,34143:1,9133.0,4901.0,24.0,21.0,26.0,472.0,6.0,4.0,8.0,353.0,21.0,33500.0,30018.0,36982.0,4232,13562,31,65.0,8.0,5.0,13.0,10925,13218,83,2.0,:null,,Alabama,Chambers,1,17,
    1019,26057,21.1,18.4,4.9,0.6,0.2,0.0,1.4,92,44.0,0.2,50.4,85.7,13,10.0,17.0,21.0,100.0,470.0,466.5,422.3,510.8,16.0,72.7,41.5,118.0,10.0,746.3,357.9,1372.4,,,,10813.0,3615.0,23.0,20.0,26.0,404.0,7.0,5.0,9.0,198.0,15.0,34738.0,30985.0,38491.0,3151,11508,27,51.0,,,,8222,10057,82,3.0,:null,,Alabama,Cherokee,1,19,
